TITLE="anvil_cfd_result"
VARIABLES="x" "y" "rho" "u" "v" "p" "T" "Mach" "p0"
ZONE T="Fluid", I=80, J=40, DATAPACKING=POINT
9.56250000e-01 1.76112675e-01 1.70067538e+00 6.03184978e+02 1.06356045e+02 1.72916992e+05 3.54198399e+02 1.62340434e+00 7.60960694e+05
9.68750000e-01 1.78316763e-01 1.70070301e+00 6.03193961e+02 1.06357703e+02 1.72915280e+05 3.54189137e+02 1.62344977e+00 7.61004620e+05
9.81250000e-01 1.80520850e-01 1.70072840e+00 6.03200217e+02 1.06358482e+02 1.72913614e+05 3.54180436e+02 1.62348640e+00 7.61038771e+05
9.93750000e-01 1.82724937e-01 1.70073337e+00 6.03223335e+02 1.06361217e+02 1.72906444e+05 3.54164716e+02 1.62358404e+00 7.61117809e+05
6.25000000e-03 2.36020436e-02 1.20115457e+00 6.90084916e+02 5.66530503e+00 1.04357700e+05 3.02660641e+02 1.97874737e+00 7.90004228e+05
1.87500000e-02 2.58061309e-02 1.27983619e+00 6.76259337e+02 2.38444289e+01 1.14369500e+05 3.11305062e+02 1.91311524e+00 7.82041088e+05
3.12500000e-02 2.80102181e-02 1.41334806e+00 6.53782790e+02 5.27724270e+01 1.31869244e+05 3.25030964e+02 1.81481560e+00 7.75070437e+05
4.37500000e-02 3.02143054e-02 1.55147380e+00 6.31541371e+02 7.97879462e+01 1.50449384e+05 3.37812964e+02 1.72764062e+00 7.74298702e+05
5.62500000e-02 3.24183927e-02 1.65166284e+00 6.15765994e+02 9.71995052e+01 1.64185959e+05 3.46293995e+02 1.67104727e+00 7.75872094e+05
6.87500000e-02 3.46224799e-02 1.68965688e+00 6.09273410e+02 1.06167205e+02 1.69460651e+05 3.49382136e+02 1.65047265e+00 7.76485916e+05
8.12500000e-02 3.68265672e-02 1.70541295e+00 6.06891433e+02 1.07131333e+02 1.71712860e+05 3.50754791e+02 1.64143462e+00 7.76249289e+05
9.37500000e-02 3.90306544e-02 1.70867970e+00 6.06256993e+02 1.08197965e+02 1.72172176e+05 3.51020641e+02 1.63964605e+00 7.76249964e+05
1.06250000e-01 4.12347417e-02 1.71248389e+00 6.05823548e+02 1.07262386e+02 1.72750024e+05 3.51416354e+02 1.63715133e+00 7.75960687e+05
1.18750000e-01 4.34388290e-02 1.71603695e+00 6.05545873e+02 1.06079798e+02 1.73231218e+05 3.51665586e+02 1.63529805e+00 7.75973664e+05
1.31250000e-01 4.56429162e-02 1.71602574e+00 6.05544098e+02 1.05814281e+02 1.73274621e+05 3.51755992e+02 1.63496153e+00 7.75778587e+05
1.43750000e-01 4.78470035e-02 1.71474929e+00 6.05631771e+02 1.06177662e+02 1.73105909e+05 3.51675089e+02 1.63554595e+00 7.75699139e+05
1.56250000e-01 5.00510907e-02 1.71293008e+00 6.05778861e+02 1.06850967e+02 1.72844834e+05 3.51517632e+02 1.63660790e+00 7.75757290e+05
1.68750000e-01 5.22551780e-02 1.71310632e+00 6.05584762e+02 1.07497301e+02 1.72893171e+05 3.51579763e+02 1.63625442e+00 7.75565106e+05
1.81250000e-01 5.44592653e-02 1.71346447e+00 6.05517586e+02 1.07412188e+02 1.72958939e+05 3.51639987e+02 1.63589879e+00 7.75448609e+05
1.93750000e-01 5.66633525e-02 1.71452856e+00 6.05425978e+02 1.07029651e+02 1.73118756e+05 3.51746466e+02 1.63523383e+00 7.75395622e+05
2.06250000e-01 5.88674398e-02 1.71430634e+00 6.05476209e+02 1.06667139e+02 1.73107134e+05 3.51768448e+02 1.63514674e+00 7.75242854e+05
2.18750000e-01 6.10715270e-02 1.71381072e+00 6.05544577e+02 1.06527240e+02 1.73049248e+05 3.51752512e+02 1.63529835e+00 7.75158893e+05
2.31250000e-01 6.32756143e-02 1.71333006e+00 6.05571826e+02 1.06668660e+02 1.72988657e+05 3.51727998e+02 1.63549192e+00 7.75111264e+05
2.43750000e-01 6.54797015e-02 1.71276768e+00 6.05555060e+02 1.06899193e+02 1.72934513e+05 3.51733361e+02 1.63554202e+00 7.74926566e+05
2.56250000e-01 6.76837888e-02 1.71303017e+00 6.05494841e+02 1.07087973e+02 1.72969407e+05 3.51750424e+02 1.63543200e+00 7.74955730e+05
2.68750000e-01 6.98878761e-02 1.71334183e+00 6.05436827e+02 1.07037664e+02 1.73025377e+05 3.51800241e+02 1.63514097e+00 7.74870045e+05
2.81250000e-01 7.20919633e-02 1.71354095e+00 6.05414055e+02 1.06917834e+02 1.73064578e+05 3.51839054e+02 1.63493569e+00 7.74808329e+05
2.93750000e-01 7.42960506e-02 1.71333965e+00 6.05439735e+02 1.06815420e+02 1.73045719e+05 3.51842048e+02 1.63494864e+00 7.74738865e+05
3.06250000e-01 7.65001378e-02 1.71297837e+00 6.05477589e+02 1.06754273e+02 1.73005654e+05 3.51834776e+02 1.63503644e+00 7.74660925e+05
3.18750000e-01 7.87042251e-02 1.71264271e+00 6.05500710e+02 1.06785005e+02 1.72967024e+05 3.51825156e+02 1.63513353e+00 7.74600129e+05
3.31250000e-01 8.09083124e-02 1.71240719e+00 6.05508594e+02 1.06814810e+02 1.72943134e+05 3.51824944e+02 1.63516845e+00 7.74533474e+05
3.43750000e-01 8.31123996e-02 1.71225304e+00 6.05507408e+02 1.06821796e+02 1.72931486e+05 3.51832921e+02 1.63515003e+00 7.74460033e+05
3.56250000e-01 8.53164869e-02 1.71214063e+00 6.05504015e+02 1.06815541e+02 1.72925201e+05 3.51843232e+02 1.63511429e+00 7.74390605e+05
3.68750000e-01 8.75205741e-02 1.71200725e+00 6.05505351e+02 1.06800468e+02 1.72915744e+05 3.51851399e+02 1.63509185e+00 7.74322337e+05
3.81250000e-01 8.97246614e-02 1.71187085e+00 6.05507724e+02 1.06783469e+02 1.72905750e+05 3.51859098e+02 1.63507232e+00 7.74255033e+05
3.93750000e-01 9.19287487e-02 1.71175254e+00 6.05507491e+02 1.06767813e+02 1.72897871e+05 3.51867383e+02 1.63504524e+00 7.74188471e+05
4.06250000e-01 9.41328359e-02 1.71165692e+00 6.05505034e+02 1.06755001e+02 1.72893760e+05 3.51878674e+02 1.63500666e+00 7.74125516e+05
4.18750000e-01 9.63369232e-02 1.71161285e+00 6.05494860e+02 1.06741724e+02 1.72894702e+05 3.51889648e+02 1.63494839e+00 7.74062452e+05
4.31250000e-01 9.85410104e-02 1.71159080e+00 6.05483603e+02 1.06730639e+02 1.72901323e+05 3.51907659e+02 1.63487195e+00 7.74003850e+05
4.43750000e-01 1.00745098e-01 1.71159218e+00 6.05466622e+02 1.06721514e+02 1.72909823e+05 3.51924676e+02 1.63478374e+00 7.73940075e+05
4.56250000e-01 1.02949185e-01 1.71159984e+00 6.05448866e+02 1.06719053e+02 1.72918924e+05 3.51941622e+02 1.63469675e+00 7.73880395e+05
4.68750000e-01 1.05153272e-01 1.71159678e+00 6.05432802e+02 1.06721777e+02 1.72926552e+05 3.51957778e+02 1.63461843e+00 7.73824133e+05
4.81250000e-01 1.07357359e-01 1.71158382e+00 6.05417252e+02 1.06728527e+02 1.72932390e+05 3.51972325e+02 1.63454704e+00 7.73767874e+05
4.93750000e-01 1.09561447e-01 1.71155971e+00 6.05403246e+02 1.06736782e+02 1.72936652e+05 3.51985957e+02 1.63448253e+00 7.73712493e+05
5.06250000e-01 1.11765534e-01 1.71152297e+00 6.05391522e+02 1.06745051e+02 1.72938905e+05 3.51998098e+02 1.63442746e+00 7.73659033e+05
5.18750000e-01 1.13969621e-01 1.71147148e+00 6.05382384e+02 1.06748861e+02 1.72939152e+05 3.52009193e+02 1.63437954e+00 7.73604844e+05
5.31250000e-01 1.16173709e-01 1.71140781e+00 6.05375575e+02 1.06750970e+02 1.72937491e+05 3.52018908e+02 1.63434013e+00 7.73551951e+05
5.43750000e-01 1.18377796e-01 1.71133608e+00 6.05370571e+02 1.06751078e+02 1.72934510e+05 3.52027593e+02 1.63430691e+00 7.73500299e+05
5.56250000e-01 1.20581883e-01 1.71125904e+00 6.05366876e+02 1.06749595e+02 1.72930617e+05 3.52035515e+02 1.63427817e+00 7.73449724e+05
5.68750000e-01 1.22785970e-01 1.71118252e+00 6.05363597e+02 1.06747039e+02 1.72926643e+05 3.52043169e+02 1.63425064e+00 7.73400199e+05
5.81250000e-01 1.24990058e-01 1.71110787e+00 6.05360380e+02 1.06744198e+02 1.72922804e+05 3.52050712e+02 1.63422339e+00 7.73351608e+05
5.93750000e-01 1.27194145e-01 1.71103667e+00 6.05356909e+02 1.06741470e+02 1.72919335e+05 3.52058296e+02 1.63419544e+00 7.73303857e+05
6.06250000e-01 1.29398232e-01 1.71097093e+00 6.05352893e+02 1.06738886e+02 1.72916514e+05 3.52066082e+02 1.63416567e+00 7.73256908e+05
6.18750000e-01 1.31602319e-01 1.71091184e+00 6.05348164e+02 1.06736540e+02 1.72914508e+05 3.52074156e+02 1.63413347e+00 7.73210804e+05
6.31250000e-01 1.33806407e-01 1.71085800e+00 6.05342891e+02 1.06734539e+02 1.72913130e+05 3.52082429e+02 1.63409954e+00 7.73165517e+05
6.43750000e-01 1.36010494e-01 1.71080593e+00 6.05337423e+02 1.06733883e+02 1.72911860e+05 3.52090559e+02 1.63406605e+00 7.73121233e+05
6.56250000e-01 1.38214581e-01 1.71075694e+00 6.05331676e+02 1.06733782e+02 1.72910910e+05 3.52098706e+02 1.63403206e+00 7.73077788e+05
6.68750000e-01 1.40418668e-01 1.71071125e+00 6.05325798e+02 1.06733330e+02 1.72910313e+05 3.52106895e+02 1.63399746e+00 7.73035232e+05
6.81250000e-01 1.42622756e-01 1.71066811e+00 6.05320001e+02 1.06731958e+02 1.72909956e+05 3.52115047e+02 1.63396273e+00 7.72993606e+05
6.93750000e-01 1.44826843e-01 1.71062588e+00 6.05314446e+02 1.06729810e+02 1.72909610e+05 3.52123036e+02 1.63392866e+00 7.72952790e+05
7.06250000e-01 1.47030930e-01 1.71058442e+00 6.05309041e+02 1.06727228e+02 1.72909269e+05 3.52130877e+02 1.63389513e+00 7.72912611e+05
7.18750000e-01 1.49235017e-01 1.71054441e+00 6.05303610e+02 1.06724536e+02 1.72909041e+05 3.52138649e+02 1.63386164e+00 7.72872994e+05
7.31250000e-01 1.51439105e-01 1.71050750e+00 6.05297911e+02 1.06721853e+02 1.72909165e+05 3.52146501e+02 1.63382727e+00 7.72833933e+05
7.43750000e-01 1.53643192e-01 1.71047564e+00 6.05291715e+02 1.06719052e+02 1.72909905e+05 3.52154567e+02 1.63379104e+00 7.72795496e+05
